"data.hostItem.author";"data.hostItem.title";"data.hostItem.keywords";"data.hostItem.subject"
"Meffret";"Sermones de tempore et de sanctis, sive Hortulus reginae";;"theology-pastoral"
"Meffret";"Sermones de tempore et de sanctis, sive Hortulus reginae";;"theology-pastoral"
"Meffret";"Sermones de tempore et de sanctis, sive Hortulus reginae. Add: Johannes de Lapide, Praemonitio circa sermones de conceptione virginis Mariae";"collection";"theology-pastoral"
"Merlin";"Histoire de la vie, miracles, enchentements et prophecies de Merlin";"chivalry";"literature"
"Mirk, John";"Liber festivalis [English]";;"theology-pastoral"
"Mirk, John";"Liber festivalis [English]";;"theology-pastoral"
"Moesch, Johannes";"De horis canonicis dicendis";;"theology-pastoral"
"Nestor, Dionysius";"Vocabularius. Add: Johannes Sulpitius Verulanus: De quantitate syllabarum";"dictionary; collection";"grammar"
"Nicolaus de Blony";"Sermones de tempore et de sanctis, sive Viridarius";;"theology-pastoral"
"Nicolaus de Byard";"Dictionarius pauperum (Flos Theologiae) sive Summa de abstinentia";;"theology-pastoral"
"Nider, Johannes";"Consolatorium timoratae conscientiae";;"theology-moral"
"Nider, Johannes";"De morali lepra";;"theology-moral"
"Nider, Johannes";"Manuale confessorum";;"theology-pastoral"
"Nider, Johannes";"Praeceptorium divinae legis, sive Expositio decalogi";;"theology-pastoral"
"Ockam, Guilielmus";"Decisiones VIII quaestionum super potestate summi Pontificis. Ed: Johannes Trechsel";"theology-ecclesiology";"philosophy-political"
"Ockam, Guilielmus";"Dialogorum libri septem adversos haereticos; Compendium errorum, sive tractatus de dogmatibus Johannis papae XXII. Ed: Jodocus Badius Ascensius";"collection; philosophy-political";"theology-ecclesiology"
"Ockam, Guilielmus";"In primum librum Sententiarum Petri Lombardi";"commentary; education";"theology-speculative"
"Ockam, Guilielmus";"Logica. Ed: Augustinus de Ratisbona";;"philosophy-logic"
"Ockam, Guilielmus";"Opus nonaginta dierum et dialogi. Ed: Augustinus de Ratisbona, Jodocus Badius Ascensius. Add: Michael de Cesena: Litterae";"collection; letter collection; theology-ecclesiology";"philosophy-political"
"Ockam, Guilielmus";"Quaestiones et decisiones in quattuor libros Sententiarum Petri Lombardi. Centilogium theologicum. Ed: Augustinus de Ratisbona, Jodocus Badius Ascensius";"education; collection; commentary";"theology-speculative"
"Ockam, Guilielmus";"Quodlibeta septem una cum tractatu De sacramento altaris";;"theology-speculative"
"Orbellis, Nicolaus de";"Expositio in quattuor libros Sententiarum Petri Lombardi";"education; commentary";"theology-speculative"
"Ovidius Naso, Publius";"Fasti. Comm: Paulus Marsus";"commentary; Poetry";"Literature"
"Paraldus, Guilielmus";"Sermones de tempore et de sanctis. Ed: Heinrich Bebel. Add: Wendelin Steinbach: Tabula";"collection; index";"theology-pastoral"
"Parker, Henry";"Dives and Pauper";;"literature-social"
"Pavinis, Johannes Franciscus de";"Defensorium canonizationis S. Leopoldi";"Law-canon";"hagiography"
